name,age,position,height,value,national_matches,national_goals,matches20,goals20,assists20,yellow20,double_yellows20,red20,matches21,goals21,assists21,yellow21,double_yellows21,red21,matches22,goals22,assists22,yellow22,double_yellows22,red22
dusan-vlahovic,23,Centre-Forward,1.9,75000.0,21,13,40,21,2,1,0,0,45,29,6,4,0,0,42,14,4,3,0,0
lautaro-martinez,25,Centre-Forward,1.74,80000.0,48,21,48,19,11,6,0,0,49,25,4,8,0,0,56,28,11,8,0,0
pierre-kalulu,23,Centre-Back,1.82,35000.0,15,2,18,1,0,2,0,0,37,1,3,5,0,0,46,1,0,4,0,0
giacomo-raspadori,23,Second Striker,1.72,35000.0,17,5,28,6,3,1,0,0,38,10,6,8,1,0,35,6,5,2,0,0
giorgio-scalvini,19,Centre-Back,1.94,30000.0,4,0,32,4,1,8,1,1,30,4,0,3,1,0,34,2,2,7,0,0
teun-koopmeiners,25,Defensive Midfield,1.83,30000.0,15,1,40,17,7,4,0,1,47,4,4,6,0,0,35,10,4,7,0,0
roger-ibanez,24,Centre-Back,1.86,30000.0,2,0,40,2,2,8,1,0,51,4,0,12,0,0,48,3,0,14,1,0
manuel-locatelli,25,Defensive Midfield,1.85,30000.0,24,3,34,4,3,9,0,0,43,3,5,8,0,0,49,0,2,11,0,0
paulo-dybala,29,Second Striker,1.77,30000.0,38,3,26,5,3,0,0,0,39,15,6,4,0,0,38,18,8,6,0,0
adrien-rabiot,28,Central Midfield,1.88,30000.0,36,3,47,5,3,9,1,0,45,0,2,7,0,0,48,11,6,11,0,0
ademola-lookman,25,Second Striker,1.74,30000.0,7,1,35,4,4,5,0,0,42,8,5,2,0,0,33,15,7,3,0,0
nicolas-gonzalez,25,Left Winger,1.8,28000.0,22,4,17,6,2,6,0,0,39,8,9,3,1,0,42,14,5,6,0,0
denzel-dumfries,27,Right Midfield,1.88,28000.0,43,6,41,4,9,10,0,0,45,5,7,4,0,0,50,2,7,4,0,0
hirving-lozano,27,Right Winger,1.75,28000.0,64,17,43,15,5,9,0,0,37,6,6,3,0,1,41,4,4,3,0,0
charles-de-ketelaere,22,Attacking Midfield,1.92,27000.0,5,1,46,5,8,0,0,0,49,18,10,6,0,0,40,0,1,3,0,0
mario-pasalic,28,Attacking Midfield,1.88,25000.0,52,7,33,6,3,2,0,0,48,14,9,6,0,0,33,5,2,3,0,0
marcelo-brozovic,30,Defensive Midfield,1.81,28000.0,85,7,42,2,7,12,1,0,48,3,4,9,0,0,39,3,6,10,0,0
eljif-elmas,23,Central Midfield,1.82,26000.0,46,9,44,3,1,3,0,0,46,7,6,4,0,0,47,6,3,6,0,0
federico-dimarco,25,Left-Back,1.75,25000.0,8,1,37,5,5,6,0,0,42,2,5,2,0,0,49,6,10,3,0,0
mattia-zaccagni,27,Left Winger,1.77,25000.0,1,0,37,5,7,6,0,0,39,7,7,9,0,0,45,10,10,13,0,0
sofyan-amrabat,26,Defensive Midfield,1.85,25000.0,48,0,33,0,0,7,0,0,25,1,0,6,0,0,49,0,1,16,0,0
amir-rrahmani,29,Centre-Back,1.92,25000.0,50,6,20,1,1,2,0,0,41,4,0,7,0,0,36,2,1,4,0,0
tanguy-ndombele,26,Central Midfield,1.81,25000.0,7,0,46,6,4,4,0,0,31,3,3,5,0,0,40,2,1,5,0,0
giovanni-di-lorenzo,29,Right-Back,1.83,25000.0,27,3,49,4,8,13,0,0,42,1,7,5,0,0,47,5,6,4,0,0
merih-demiral,25,Centre-Back,1.9,25000.0,37,2,24,0,1,5,1,0,42,2,3,11,0,0,28,1,0,5,0,0
destiny-udogie,20,Left-Back,1.88,22000.0,7,0,7,0,0,1,0,0,37,5,3,4,0,0,34,3,4,5,0,0
filip-kosti%C4%87,30,Left Midfield,1.84,24000.0,53,3,30,4,17,4,0,0,43,7,15,3,0,0,56,3,12,4,0,0
victor-osimhen,24,Centre-Forward,1.86,100000.0,25,15,30,10,3,5,1,0,32,18,6,5,0,1,39,31,5,5,0,0
dusan-vlahovic,23,Centre-Forward,1.9,75000.0,21,13,40,21,2,1,0,0,45,29,6,4,0,0,42,14,4,3,0,0
davide-frattesi,23,Central Midfield,1.84,22000.0,4,0,41,8,2,5,0,0,38,4,4,6,0,0,37,7,0,4,0,0
lautaro-martinez,25,Centre-Forward,1.74,80000.0,48,21,48,19,11,6,0,0,49,25,4,8,0,0,56,28,11,8,0,0
nikola-vlasic,25,Attacking Midfield,1.78,20000.0,48,7,34,12,6,4,0,0,36,1,3,0,0,0,37,5,8,1,0,0
bryan-cristante,28,Defensive Midfield,1.86,20000.0,31,2,48,2,2,11,0,0,50,3,2,11,0,0,53,1,3,11,0,1
paul-pogba,30,Central Midfield,1.91,20000.0,91,11,42,6,9,8,0,0,27,1,9,8,0,1,10,0,1,1,0,0
ederson,23,Central Midfield,1.83,20000.0,1,0,58,3,3,11,0,0,15,2,1,5,0,0,37,1,1,5,0,0
nikola-milenkovi%C4%87,25,Centre-Back,1.95,20000.0,43,3,37,3,1,7,0,1,39,3,0,10,1,0,42,3,2,9,0,0
brahim-diaz,23,Attacking Midfield,1.71,20000.0,1,1,39,7,4,3,0,0,40,4,4,5,0,0,45,7,7,4,0,0
andre-onana,27,Goalkeeper,1.9,20000.0,34,0,26,0,1,0,0,22,10,0,0,0,0,12,40,0,3,0,0,35
matteo-politano,29,Right Winger,1.71,20000.0,10,3,50,12,5,5,0,0,39,5,7,3,0,0,37,4,4,3,0,0
nicolo-fagioli,22,Central Midfield,1.78,20000.0,7,0,22,2,1,2,0,0,33,3,7,6,0,0,37,3,5,4,0,0
davide-calabria,26,Right-Back,1.76,20000.0,7,0,39,2,2,7,0,0,33,2,3,2,0,0,33,1,5,8,0,0
moise-kean,23,Centre-Forward,1.83,20000.0,12,4,45,19,1,5,0,0,44,6,3,5,0,1,40,8,0,6,0,1
alex-meret,26,Goalkeeper,1.9,18000.0,3,0,28,0,0,0,0,36,15,0,1,0,0,23,45,0,0,0,0,34
mathias-olivera,25,Left-Back,1.85,18000.0,12,0,32,0,0,7,0,0,32,1,3,10,0,0,39,2,4,3,0,0
perr-schuurs,23,Centre-Back,1.91,20000.0,0,0,41,1,1,5,0,0,30,0,2,1,0,0,36,1,2,5,0,0
alessio-romagnoli,28,Centre-Back,1.85,18000.0,13,2,30,1,1,9,0,0,26,1,1,4,0,1,42,2,0,8,0,0
armand-lauriente,24,Left Winger,1.71,18000.0,2,0,29,3,5,4,0,0,36,6,2,5,0,0,31,8,7,8,1,0
luis-alberto,30,Central Midfield,1.83,18000.0,1,0,40,9,4,7,0,0,44,5,12,7,0,0,44,7,8,4,0,0
ciro-immobile,33,Centre-Forward,1.85,18000.0,55,15,41,25,8,4,0,1,40,32,4,5,0,0,38,14,7,5,0,0
gianluca-mancini,27,Centre-Back,1.9,18000.0,9,0,41,5,2,14,1,0,46,1,1,22,1,0,51,1,4,14,0,0
robin-gosens,28,Left Midfield,1.83,18000.0,14,2,44,12,8,9,1,0,17,3,2,3,0,0,48,4,0,4,0,0
domenico-berardi,28,Right Winger,1.83,18000.0,25,6,30,17,8,4,0,0,34,15,17,9,0,0,27,13,7,7,0,0
dodo,24,Right-Back,1.66,17000.0,5,0,34,2,7,3,0,0,26,0,4,2,0,0,50,1,4,6,1,0
giovanni-simeone,27,Centre-Forward,1.8,17000.0,5,1,33,6,2,1,0,0,37,17,6,8,0,0,33,9,1,1,0,0
nicolo-casale,25,Centre-Back,1.91,17000.0,2,0,26,1,0,2,0,0,37,0,2,10,0,0,37,1,1,7,0,0
victor-osimhen,24,Centre-Forward,1.86,100000.0,25,15,30,10,3,5,1,0,32,18,6,5,0,1,39,31,5,5,0,0
lautaro-martinez,25,Centre-Forward,1.74,80000.0,48,21,48,19,11,6,0,0,49,25,4,8,0,0,56,28,11,8,0,0
dusan-vlahovic,23,Centre-Forward,1.9,75000.0,21,13,40,21,2,1,0,0,45,29,6,4,0,0,42,14,4,3,0,0
jude-bellingham,19,Central Midfield,1.86,120000.0,24,1,46,4,4,10,1,0,44,6,14,11,0,0,42,14,7,11,0,0
florian-wirtz,20,Attacking Midfield,1.76,85000.0,6,0,38,8,8,1,0,0,31,10,14,3,0,0,25,4,8,6,0,0
jamal-musiala,20,Attacking Midfield,1.84,110000.0,20,1,39,7,1,0,0,0,40,8,6,2,0,0,47,16,16,2,0,0
joshua-kimmich,28,Defensive Midfield,1.77,80000.0,76,5,39,6,14,6,0,0,39,3,12,5,0,0,47,7,11,8,1,0
christopher-nkunku,25,Second Striker,1.78,80000.0,8,0,40,7,11,5,0,0,52,35,20,2,0,0,36,23,9,7,0,0
matthijs-de-ligt,23,Centre-Back,1.89,75000.0,41,2,36,1,1,7,0,0,42,3,1,5,1,0,43,3,1,5,0,0
josko-gvardiol,21,Centre-Back,1.85,75000.0,21,2,41,3,3,0,0,0,46,2,3,8,0,0,41,3,0,2,0,1
alphonso-davies,22,Left-Back,1.85,70000.0,39,13,35,1,3,2,0,1,31,0,6,3,0,0,38,3,8,1,0,0
leon-goretzka,28,Central Midfield,1.89,65000.0,50,14,32,8,8,3,0,0,27,3,3,0,0,0,40,6,6,6,0,0
randal-kolo-muani,24,Centre-Forward,1.87,65000.0,6,1,41,10,9,4,0,0,41,13,7,3,0,0,46,23,17,6,1,1
kingsley-coman,26,Left Winger,1.81,65000.0,47,5,39,8,15,2,0,0,32,8,6,2,0,1,35,9,7,0,1,0
leroy-sane,27,Right Winger,1.83,70000.0,50,11,44,10,12,3,0,0,45,14,15,4,0,0,44,14,10,5,0,0
dayot-upamecano,24,Centre-Back,1.86,60000.0,14,2,41,1,1,10,0,0,38,1,6,8,0,0,43,1,2,9,0,1
joao-cancelo,29,Right-Back,1.82,60000.0,42,8,43,3,6,9,0,1,52,3,10,10,0,0,47,3,11,9,0,1
serge-gnabry,27,Right Winger,1.76,55000.0,41,22,38,11,7,5,0,0,45,17,9,0,0,0,47,17,12,0,0,0
lucas-hernandez,27,Centre-Back,1.84,50000.0,33,0,37,1,3,8,0,0,34,0,2,9,0,0,11,1,1,2,0,0
moussa-diaby,23,Right Winger,1.7,50000.0,9,0,43,10,15,5,0,0,42,17,14,11,1,0,48,14,11,7,0,0
dominik-szoboszlai,22,Attacking Midfield,1.87,40000.0,30,7,22,9,10,2,0,0,45,10,9,2,0,0,46,10,13,4,1,1
sadio-mane,31,Left Winger,1.74,45000.0,95,35,48,16,9,6,0,0,51,23,5,8,0,0,38,12,6,3,0,0
nico-schlotterbeck,23,Centre-Back,1.91,40000.0,9,0,17,2,0,4,1,0,38,4,2,6,0,0,39,4,5,3,0,0
dani-olmo,25,Attacking Midfield,1.79,40000.0,30,6,46,7,12,5,0,0,31,4,5,2,0,0,31,5,11,2,0,0
julian-brandt,27,Attacking Midfield,1.85,40000.0,39,3,45,4,2,0,0,0,40,9,10,3,0,0,42,10,9,2,0,0
benjamin-pavard,27,Right-Back,1.86,35000.0,47,2,36,1,2,4,0,0,36,0,2,2,0,1,43,7,1,9,1,0
karim-adeyemi,21,Left Winger,1.8,35000.0,4,1,39,9,11,5,0,0,44,23,9,6,0,0,32,9,6,10,0,1
jeremie-frimpong,22,Right-Back,1.71,35000.0,0,0,43,1,6,2,0,0,34,2,8,7,0,0,48,9,11,5,1,0
kimberly-ezekwem,21,Left-Back,1.87,350,0,0,37,0,14,6,0,0,14,0,0,2,0,0,17,0,0,0,0,1
jamal-musiala,20,Attacking Midfield,1.84,110000.0,20,1,39,7,1,0,0,0,40,8,6,2,0,0,47,16,16,2,0,0
niklas-sule,27,Centre-Back,1.95,35000.0,45,1,33,2,0,2,0,0,38,1,2,3,0,0,41,2,4,4,0,0
matthijs-de-ligt,23,Centre-Back,1.89,75000.0,41,2,36,1,1,7,0,0,42,3,1,5,1,0,43,3,1,5,0,0
gregor-kobel,25,Goalkeeper,1.94,35000.0,4,0,34,0,0,0,0,54,40,0,0,0,0,61,35,0,0,0,0,37
evan-ndicka,23,Centre-Back,1.92,32000.0,0,0,25,3,1,10,0,0,44,4,4,6,1,0,44,2,1,7,0,0
marcus-thuram,25,Centre-Forward,1.92,32000.0,10,0,40,11,12,3,0,1,23,3,1,2,0,0,32,16,7,3,0,0
patrik-schick,27,Centre-Forward,1.91,30000.0,35,18,36,13,2,5,0,0,31,24,5,0,0,0,23,4,1,0,0,0
manu-kone,22,Central Midfield,1.85,30000.0,7,0,42,5,1,9,0,0,29,3,1,10,0,0,31,1,1,12,0,0
edmond-tapsoba,24,Centre-Back,1.94,30000.0,34,1,39,2,0,6,0,0,29,1,0,2,0,0,47,2,2,7,0,0
ryan-gravenberch,21,Central Midfield,1.9,30000.0,7,1,47,5,6,6,1,0,42,3,6,6,0,0,33,1,1,1,0,0
daichi-kamada,26,Attacking Midfield,1.84,30000.0,28,6,34,5,13,3,0,0,46,9,4,0,0,0,47,16,7,4,0,0
sebastien-haller,28,Centre-Forward,1.91,30000.0,15,4,42,20,8,2,0,0,43,34,9,6,0,0,22,9,5,1,0,0
youssoufa-moukoko,18,Centre-Forward,1.79,30000.0,2,0,19,16,1,0,0,0,24,3,2,2,0,0,35,7,6,0,0,0
giovanni-reyna,20,Attacking Midfield,1.85,28000.0,17,4,46,7,8,2,0,0,13,2,2,0,0,0,30,7,4,2,0,0
mohamed-simakan,23,Centre-Back,1.87,28000.0,1,0,19,1,1,2,0,0,41,1,1,11,0,0,37,3,8,5,0,0
noussair-mazraoui,25,Right-Back,1.83,28000.0,22,2,26,1,1,1,0,0,35,5,4,3,0,0,26,1,4,2,0,0
jesper-lindstrom,23,Attacking Midfield,1.82,28000.0,9,1,31,10,11,4,0,1,39,5,9,0,0,0,38,9,4,2,0,0
konrad-laimer,26,Central Midfield,1.8,28000.0,26,2,4,0,0,0,0,0,43,5,6,3,0,0,29,4,1,10,0,0
piero-hincapie,21,Centre-Back,1.83,25000.0,26,1,19,0,0,5,0,0,33,2,1,6,0,0,43,1,1,14,2,1
timo-werner,27,Centre-Forward,1.8,25000.0,57,24,52,12,15,3,0,0,37,11,6,1,0,0,40,16,6,3,0,0
odilon-kossounou,22,Centre-Back,1.91,20000.0,16,0,42,1,2,5,0,1,34,0,2,4,0,0,35,0,1,5,0,0
djibril-sow,26,Central Midfield,1.84,22000.0,36,0,29,0,2,6,0,0,44,3,6,7,0,0,47,4,0,11,0,0
xaver-schlager,25,Central Midfield,1.74,22000.0,33,3,38,2,6,8,0,0,15,0,1,2,0,0,33,1,2,3,0,0
christoph-baumgartner,23,Attacking Midfield,1.8,20000.0,27,8,41,9,7,8,0,0,31,7,2,6,0,0,36,7,7,7,0,0
philipp-lienhart,26,Centre-Back,1.89,20000.0,11,0,36,4,0,4,0,0,38,5,0,3,0,0,39,1,0,6,0,0
mathys-tel,18,Centre-Forward,1.83,20000.0,6,5,0,0,0,0,0,0,18,9,0,0,0,0,28,6,0,2,0,0
kimberly-ezekwem,21,Left-Back,1.87,350,0,0,37,0,14,6,0,0,14,0,0,2,0,0,17,0,0,0,0,1
matthijs-de-ligt,23,Centre-Back,1.89,75000.0,41,2,36,1,1,7,0,0,42,3,1,5,1,0,43,3,1,5,0,0
jamal-musiala,20,Attacking Midfield,1.84,110000.0,20,1,39,7,1,0,0,0,40,8,6,2,0,0,47,16,16,2,0,0
jonathan-tah,27,Centre-Back,1.95,20000.0,16,0,35,1,1,3,0,1,42,2,3,4,0,0,47,1,0,8,0,0
matthias-ginter,29,Centre-Back,1.91,20000.0,50,2,46,2,1,2,0,0,31,1,0,2,0,0,47,5,4,5,0,0
ramy-bensebaini,28,Left-Back,1.87,20000.0,53,6,33,7,0,10,0,0,24,6,2,6,0,0,30,7,1,5,1,0
andre-silva,27,Centre-Forward,1.85,20000.0,53,19,34,29,10,1,0,0,51,17,8,2,0,0,44,9,9,3,0,0
david-raum,25,Left-Back,1.8,20000.0,17,0,38,1,18,3,0,0,35,3,13,5,0,0,40,0,2,7,0,0
maxence-lacroix,23,Centre-Back,1.9,20000.0,2,0,36,2,1,8,0,0,36,0,0,7,1,2,26,1,0,1,0,0
nico-elvedi,26,Centre-Back,1.89,20000.0,45,1,40,5,2,1,0,0,31,1,1,3,0,1,34,3,0,2,0,0
raphael-guerreiro,29,Left-Back,1.7,20000.0,63,4,40,6,11,1,0,0,28,5,4,1,0,0,36,6,14,4,0,0
micky-van-de-ven,22,Centre-Back,1.93,18000.0,7,0,28,2,1,6,0,0,5,0,1,0,0,0,36,1,2,7,0,0
thomas-muller,33,Second Striker,1.85,18000.0,121,44,46,15,24,2,0,0,45,13,25,0,0,0,40,8,12,1,0,0
callum-hudson-odoi,22,Left Winger,1.77,17000.0,3,0,37,5,5,0,0,0,28,3,6,2,0,0,21,1,1,0,0,0
salih-ozcan,25,Defensive Midfield,1.83,17000.0,9,0,32,1,2,3,0,0,34,2,1,5,0,0,36,0,2,10,0,0
amadou-haidara,25,Central Midfield,1.75,17000.0,32,2,43,6,3,6,0,0,28,4,1,2,0,0,44,2,2,8,0,0
maximilian-arnold,29,Central Midfield,1.84,17000.0,3,0,36,3,7,7,0,1,41,4,6,7,0,0,34,5,3,5,0,0
ritsu-doan,24,Right Winger,1.72,15000.0,36,5,35,5,3,1,0,0,39,11,3,1,0,0,45,7,7,4,0,0
donyell-malen,24,Right Winger,1.78,16000.0,21,4,45,27,10,3,0,0,38,9,6,2,0,0,35,10,8,2,0,0
sheraldo-becker,28,Second Striker,1.8,15000.0,6,2,20,3,3,2,0,0,40,6,9,8,0,0,48,12,10,6,0,0
julian-weigl,27,Defensive Midfield,1.86,15000.0,6,0,43,1,0,12,0,0,48,3,5,12,0,0,27,1,1,8,0,0
abdou-diallo,27,Centre-Back,1.87,15000.0,22,2,36,0,2,2,1,1,16,0,1,2,0,0,15,1,0,2,0,0
tuta,23,Centre-Back,1.85,15000.0,0,0,20,0,0,5,0,0,38,4,0,5,2,0,44,2,1,9,1,0
adam-hlozek,20,Centre-Forward,1.88,15000.0,21,1,23,15,9,0,0,0,47,12,15,3,0,0,44,7,6,2,0,0
amine-adli,23,Left Winger,1.74,15000.0,6,3,36,8,8,6,0,1,35,4,4,4,0,1,38,7,6,3,0,2
konstantinos-mavropanos,25,Centre-Back,1.94,15000.0,17,0,22,0,0,6,0,0,33,5,1,3,0,0,34,3,1,9,1,0
benjamin-henrichs,26,Right-Back,1.85,15000.0,7,0,20,0,1,5,0,0,37,3,4,4,0,0,44,4,3,11,0,0
florian-neuhaus,26,Central Midfield,1.85,15000.0,10,2,45,8,8,10,0,0,32,4,4,2,0,0,24,2,0,2,0,0
exequiel-palacios,24,Central Midfield,1.77,15000.0,24,0,13,0,1,2,0,0,32,3,2,3,0,0,34,5,2,8,0,0
kimberly-ezekwem,21,Left-Back,1.87,350,0,0,37,0,14,6,0,0,14,0,0,2,0,0,17,0,0,0,0,1
jamal-musiala,20,Attacking Midfield,1.84,110000.0,20,1,39,7,1,0,0,0,40,8,6,2,0,0,47,16,16,2,0,0
matthijs-de-ligt,23,Centre-Back,1.89,75000.0,41,2,36,1,1,7,0,0,42,3,1,5,1,0,43,3,1,5,0,0
kylian-mbappe,24,Centre-Forward,1.78,180000.0,68,38,47,42,11,7,0,0,46,39,26,11,0,0,43,41,10,6,0,0
achraf-hakimi,24,Right-Back,1.81,70000.0,62,8,45,7,11,9,0,0,41,4,6,5,0,1,39,5,6,6,1,1
marquinhos,29,Centre-Back,1.83,70000.0,76,5,40,6,1,3,0,0,40,5,1,5,0,0,44,2,1,4,0,0
nuno-mendes,20,Left-Back,1.83,65000.0,19,0,35,1,2,5,0,0,40,0,3,5,0,0,32,2,7,3,0,0
neymar,31,Left Winger,1.75,70000.0,124,77,31,17,11,10,1,1,28,13,8,11,0,0,29,18,17,9,1,0
jonathan-david,23,Centre-Forward,1.75,60000.0,40,24,48,13,5,1,0,0,48,19,0,3,0,0,40,26,4,7,0,0
marco-verratti,30,Central Midfield,1.65,50000.0,53,3,31,0,6,10,0,0,32,2,2,14,0,0,38,0,1,14,0,1
gianluigi-donnarumma,24,Goalkeeper,1.96,50000.0,52,0,48,0,3,0,1,54,24,0,5,0,0,23,48,0,3,0,0,52
vitinha,23,Central Midfield,1.72,42000.0,9,0,23,1,1,0,0,0,47,4,5,6,0,0,48,2,4,4,0,0
lionel-messi,35,Right Winger,1.7,45000.0,174,102,47,38,14,6,0,1,34,11,15,1,0,0,41,21,20,0,0,0
fabian-ruiz,27,Central Midfield,1.89,38000.0,16,1,42,4,1,2,0,0,38,7,5,6,1,0,37,3,3,1,0,0
presnel-kimpembe,27,Centre-Back,1.83,35000.0,28,0,40,0,0,8,1,1,41,2,1,10,0,0,15,0,0,4,0,0
amine-gouiri,23,Centre-Forward,1.81,35000.0,24,11,41,16,8,6,0,0,43,12,10,4,0,0,47,17,8,5,1,0
khephren-thuram,22,Defensive Midfield,1.92,32000.0,14,2,33,2,0,4,0,0,41,4,3,4,0,0,48,2,8,6,0,0
seko-fofana,28,Central Midfield,1.85,30000.0,8,3,32,2,4,2,0,0,41,10,2,3,0,0,39,9,6,2,0,0
jean-clair-todibo,23,Centre-Back,1.9,30000.0,0,0,19,1,0,6,0,0,40,1,0,8,0,0,46,0,0,3,1,2
martin-terrier,26,Left Winger,1.84,35000.0,13,7,38,9,8,2,0,1,46,21,7,1,0,0,22,12,5,0,0,0
carlos-soler,26,Central Midfield,1.8,30000.0,14,4,34,12,9,7,0,0,38,12,5,5,0,0,38,7,4,0,0,0
mohamed-camara,23,Defensive Midfield,1.73,28000.0,15,3,26,2,0,11,0,0,37,1,5,12,0,0,37,0,3,8,0,1
rayan-cherki,19,Attacking Midfield,1.77,27000.0,7,4,31,4,4,3,0,1,22,2,4,2,0,0,39,5,6,3,0,0
axel-disasi,25,Centre-Back,1.9,25000.0,3,0,35,3,0,4,0,2,45,3,0,6,0,0,49,6,4,3,0,0
youssouf-fofana,24,Central Midfield,1.85,25000.0,9,0,40,0,3,9,1,0,46,1,4,6,0,1,47,2,2,3,1,1
folarin-balogun,21,Centre-Forward,1.78,25000.0,0,0,26,12,4,4,1,0,38,18,6,1,0,0,39,22,3,5,0,0
malo-gusto,20,Right-Back,1.79,25000.0,7,1,9,0,1,1,0,0,38,1,5,4,1,0,22,0,1,1,0,0
elye-wahi,20,Centre-Forward,1.84,25000.0,3,1,25,5,1,1,0,0,36,10,2,2,0,1,33,19,6,8,0,1
neymar,31,Left Winger,1.75,70000.0,124,77,31,17,11,10,1,1,28,13,8,11,0,0,29,18,17,9,1,0
jonathan-david,23,Centre-Forward,1.75,60000.0,40,24,48,13,5,1,0,0,48,19,0,3,0,0,40,26,4,7,0,0
aleksandr-golovin,27,Attacking Midfield,1.78,25000.0,45,5,26,6,9,2,0,0,40,4,8,9,0,1,45,8,8,7,0,0
vitinha,23,Central Midfield,1.72,42000.0,9,0,23,1,1,0,0,0,47,4,5,6,0,0,48,2,4,4,0,0
matteo-guendouzi,24,Central Midfield,1.85,25000.0,7,1,24,2,3,5,0,0,56,5,14,9,0,0,43,5,5,5,0,0
arnaud-kalimuendo,21,Centre-Forward,1.75,25000.0,15,4,31,8,6,0,0,0,38,13,0,1,0,1,38,7,5,0,0,0
maxence-caqueret,23,Central Midfield,1.74,25000.0,19,2,33,0,1,3,1,0,39,0,1,7,0,0,40,4,7,2,0,0
hugo-ekitike,20,Centre-Forward,1.89,25000.0,6,0,15,4,2,3,0,0,27,11,5,1,0,2,32,4,4,0,0,0
nicolas-pepe,28,Right Winger,1.83,22000.0,35,9,47,16,5,1,0,1,23,3,6,0,0,0,28,8,1,3,0,0
vitinha,23,Centre-Forward,1.78,22000.0,8,4,5,5,0,0,0,0,38,14,4,4,0,1,43,15,6,4,0,0
breel-embolo,26,Centre-Forward,1.87,22000.0,63,13,41,6,6,4,0,0,31,11,6,4,0,0,42,14,4,4,0,0
lois-openda,23,Centre-Forward,1.77,20000.0,8,2,38,13,5,1,0,0,50,24,6,8,0,2,42,21,4,2,0,0
wissam-ben-yedder,32,Centre-Forward,1.7,20000.0,19,3,41,22,9,2,0,0,52,32,7,3,0,0,43,25,7,4,0,0
chancel-mbemba,28,Centre-Back,1.82,20000.0,68,4,43,1,0,8,0,0,47,2,0,5,0,1,45,7,1,3,0,1
renato-sanches,25,Central Midfield,1.76,20000.0,32,3,29,1,4,7,0,0,32,2,5,7,1,0,27,2,0,1,0,0
arthur-theate,23,Centre-Back,1.85,20000.0,6,0,37,5,0,7,0,0,34,2,1,7,1,0,42,5,1,7,0,0
caio-henrique,25,Left-Back,1.78,20000.0,11,0,36,0,5,0,0,0,49,2,13,6,0,0,45,1,10,4,0,0
castello-lukeba,20,Centre-Back,1.84,20000.0,5,0,7,0,0,0,0,0,32,2,0,3,0,0,38,2,0,7,1,0
lovro-majer,25,Attacking Midfield,1.78,20000.0,19,4,49,11,14,6,0,0,49,11,13,1,0,0,42,3,7,4,0,0
terem-moffi,24,Centre-Forward,1.88,20000.0,10,3,36,16,3,2,0,0,38,8,4,1,0,0,38,21,3,3,0,0
jonathan-bamba,27,Left Winger,1.75,20000.0,0,0,48,7,11,3,0,0,39,1,4,6,0,0,35,6,7,6,0,0
nordi-mukiele,25,Right-Back,1.87,20000.0,1,0,40,4,2,8,0,0,38,2,5,3,0,0,25,0,3,0,0,0
vanderson,21,Right-Back,1.73,18000.0,0,0,52,4,4,9,0,1,22,2,3,4,0,0,39,1,5,4,1,0
alban-lafont,24,Goalkeeper,1.96,20000.0,0,0,40,0,2,0,0,57,39,0,3,0,0,48,48,0,1,1,0,78
valentin-rongier,28,Central Midfield,1.72,18000.0,0,0,34,1,2,8,0,0,46,1,2,7,1,0,46,1,2,8,0,0
jeremy-doku,21,Right Winger,1.73,18000.0,12,2,44,4,8,2,0,1,18,2,2,2,0,0,35,7,4,0,0,0
sofiane-diop,23,Left Winger,1.75,18000.0,11,4,35,7,2,4,0,0,45,9,7,6,0,0,31,3,4,1,0,0
eliesse-ben-seghir,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,23,4,3,1,0,0
neymar,31,Left Winger,1.75,70000.0,124,77,31,17,11,10,1,1,28,13,8,11,0,0,29,18,17,9,1,0
warren-zaire-emery,17,Central Midfield,1.78,18000.0,3,0,0,0,0,0,0,0,9,1,2,1,0,0,32,3,0,1,0,0
jonathan-david,23,Centre-Forward,1.75,60000.0,40,24,48,13,5,1,0,0,48,19,0,3,0,0,40,26,4,7,0,0
benjamin-bourigeaud,29,Right Midfield,1.78,18000.0,2,0,43,6,6,9,0,0,48,12,16,4,0,0,46,8,13,7,1,0
ludovic-blas,25,Attacking Midfield,1.8,18000.0,14,1,39,11,5,5,0,0,41,15,5,10,0,0,51,12,8,7,0,0
ruslan-malinovskyi,30,Attacking Midfield,1.81,18000.0,52,7,43,10,12,6,0,0,41,10,7,10,0,0,38,3,3,6,0,0
vitinha,23,Central Midfield,1.72,42000.0,9,0,23,1,1,0,0,0,47,4,5,6,0,0,48,2,4,4,0,0
nuno-tavares,23,Left-Back,1.83,18000.0,12,1,25,0,3,5,0,0,28,1,2,2,0,0,39,6,0,7,0,1
cengiz-under,25,Right Winger,1.73,17000.0,47,15,19,2,3,0,0,0,47,13,6,2,1,0,46,5,6,4,0,0
adrien-truffert,21,Left-Back,1.76,18000.0,1,0,36,1,4,3,0,0,41,3,3,4,0,0,38,0,7,1,0,0
facundo-medina,24,Centre-Back,1.84,16000.0,2,0,26,3,0,12,0,0,34,1,0,11,0,0,35,3,5,7,0,0
kevin-danso,24,Centre-Back,1.9,16000.0,13,0,33,2,2,5,1,0,36,2,3,8,1,1,40,1,3,7,0,1
tiago-djalo,23,Centre-Back,1.9,16000.0,0,0,24,0,0,6,1,0,38,1,1,5,0,0,26,2,1,7,0,0
moussa-dembele,26,Centre-Forward,1.87,15000.0,25,13,23,1,0,3,0,0,36,22,5,6,0,0,28,3,1,1,0,0
